"TOT_P","GRD_ID","CNTR_CODE","METHD_CL","YEAR","DATA_SRC","TOT_P_CON_DT"
16,"1kmN3886E4144","NO","A",2011,"NO","0"
6,"1kmN3886E4149","NO","A",2011,"NO","0"
10,"1kmN3886E4150","NO","A",2011,"NO","0"
270,"1kmN3886E4151","NO","A",2011,"NO","0"
164,"1kmN3886E4152","NO","A",2011,"NO","0"
2,"1kmN3886E4153","NO","A",2011,"NO","0"
38,"1kmN3886E4154","NO","A",2011,"NO","0"
254,"1kmN3886E4155","NO","A",2011,"NO","0"
13,"1kmN3886E4156","NO","A",2011,"NO","0"
4,"1kmN3886E4157","NO","A",2011,"NO","0"
27,"1kmN3886E4158","NO","A",2011,"NO","0"
105,"1kmN3886E4159","NO","A",2011,"NO","0"
60,"1kmN3886E4160","NO","A",2011,"NO","0"
4,"1kmN3886E4164","NO","A",2011,"NO","0"
7,"1kmN3886E4165","NO","A",2011,"NO","0"
22,"1kmN3886E4166","NO","A",2011,"NO","0"
11,"1kmN3886E4167","NO","A",2011,"NO","0"
16,"1kmN3886E4168","NO","A",2011,"NO","0"
22,"1kmN3886E4169","NO","A",2011,"NO","0"
2,"1kmN3886E4170","NO","A",2011,"NO","0"
42,"1kmN3886E4173","NO","A",2011,"NO","0"
2,"1kmN3886E4174","NO","A",2011,"NO","0"
11,"1kmN3886E4175","NO","A",2011,"NO","0"
90,"1kmN3886E4177","NO","A",2011,"NO","0"
2,"1kmN3886E4178","NO","A",2011,"NO","0"
2,"1kmN3886E4180","NO","A",2011,"NO","0"
14,"1kmN3886E4181","NO","A",2011,"NO","0"
22,"1kmN3886E4182","NO","A",2011,"NO","0"
10,"1kmN3886E4184","NO","A",2011,"NO","0"
41,"1kmN3886E4185","NO","A",2011,"NO","0"
12,"1kmN3886E4186","NO","A",2011,"NO","0"
11,"1kmN3886E4187","NO","A",2011,"NO","0"
1,"1kmN3886E4192","NO","A",2011,"NO","0"
6,"1kmN3886E4194","NO","A",2011,"NO","0"
10,"1kmN3886E4202","NO","A",2011,"NO","0"
6,"1kmN3887E4140","NO","A",2011,"NO","0"
5,"1kmN3887E4141","NO","A",2011,"NO","0"
1,"1kmN3887E4143","NO","A",2011,"NO","0"
31,"1kmN3887E4144","NO","A",2011,"NO","0"
11,"1kmN3887E4145","NO","A",2011,"NO","0"
2,"1kmN3887E4146","NO","A",2011,"NO","0"
6,"1kmN3887E4147","NO","A",2011,"NO","0"
4,"1kmN3887E4149","NO","A",2011,"NO","0"
7,"1kmN3887E4154","NO","A",2011,"NO","0"
7,"1kmN3887E4156","NO","A",2011,"NO","0"
7,"1kmN3887E4157","NO","A",2011,"NO","0"
3,"1kmN3887E4159","NO","A",2011,"NO","0"
34,"1kmN3887E4160","NO","A",2011,"NO","0"
15,"1kmN3887E4161","NO","A",2011,"NO","0"
6,"1kmN3887E4162","NO","A",2011,"NO","0"
13,"1kmN3887E4163","NO","A",2011,"NO","0"
35,"1kmN3887E4164","NO","A",2011,"NO","0"
39,"1kmN3887E4166","NO","A",2011,"NO","0"
5,"1kmN3887E4167","NO","A",2011,"NO","0"
43,"1kmN3887E4168","NO","A",2011,"NO","0"
40,"1kmN3887E4169","NO","A",2011,"NO","0"
5,"1kmN3887E4171","NO","A",2011,"NO","0"
13,"1kmN3887E4172","NO","A",2011,"NO","0"
31,"1kmN3887E4173","NO","A",2011,"NO","0"
5,"1kmN3887E4174","NO","A",2011,"NO","0"
18,"1kmN3887E4176","NO","A",2011,"NO","0"
12,"1kmN3887E4177","NO","A",2011,"NO","0"
25,"1kmN3887E4178","NO","A",2011,"NO","0"
12,"1kmN3887E4182","NO","A",2011,"NO","0"
2,"1kmN3887E4183","NO","A",2011,"NO","0"
38,"1kmN3887E4184","NO","A",2011,"NO","0"
7,"1kmN3887E4185","NO","A",2011,"NO","0"
21,"1kmN3887E4186","NO","A",2011,"NO","0"
29,"1kmN3887E4187","NO","A",2011,"NO","0"
56,"1kmN3887E4188","NO","A",2011,"NO","0"
50,"1kmN3887E4189","NO","A",2011,"NO","0"
39,"1kmN3887E4190","NO","A",2011,"NO","0"
43,"1kmN3887E4192","NO","A",2011,"NO","0"
1,"1kmN3887E4193","NO","A",2011,"NO","0"
541,"1kmN3887E4194","NO","A",2011,"NO","0"
178,"1kmN3887E4195","NO","A",2011,"NO","0"
3,"1kmN3887E4196","NO","A",2011,"NO","0"
15,"1kmN3887E4197","NO","A",2011,"NO","0"
344,"1kmN3887E4201","NO","A",2011,"NO","0"
910,"1kmN3887E4202","NO","A",2011,"NO","0"
223,"1kmN3887E4203","NO","A",2011,"NO","0"
11,"1kmN3888E4132","NO","A",2011,"NO","0"
2,"1kmN3888E4136","NO","A",2011,"NO","0"
8,"1kmN3888E4140","NO","A",2011,"NO","0"
2,"1kmN3888E4142","NO","A",2011,"NO","0"
13,"1kmN3888E4144","NO","A",2011,"NO","0"
9,"1kmN3888E4145","NO","A",2011,"NO","0"
5,"1kmN3888E4148","NO","A",2011,"NO","0"
1,"1kmN3888E4149","NO","A",2011,"NO","0"
7,"1kmN3888E4151","NO","A",2011,"NO","0"
5,"1kmN3888E4155","NO","A",2011,"NO","0"
7,"1kmN3888E4156","NO","A",2011,"NO","0"
8,"1kmN3888E4159","NO","A",2011,"NO","0"
108,"1kmN3888E4160","NO","A",2011,"NO","0"
38,"1kmN3888E4161","NO","A",2011,"NO","0"
1,"1kmN3888E4162","NO","A",2011,"NO","0"
30,"1kmN3888E4163","NO","A",2011,"NO","0"
30,"1kmN3888E4164","NO","A",2011,"NO","0"
1,"1kmN3888E4165","NO","A",2011,"NO","0"
52,"1kmN3888E4166","NO","A",2011,"NO","0"
15,"1kmN3888E4167","NO","A",2011,"NO","0"
2,"1kmN3888E4169","NO","A",2011,"NO","0"
16,"1kmN3888E4170","NO","A",2011,"NO","0"
16,"1kmN3888E4171","NO","A",2011,"NO","0"
8,"1kmN3888E4172","NO","A",2011,"NO","0"
64,"1kmN3888E4174","NO","A",2011,"NO","0"
13,"1kmN3888E4177","NO","A",2011,"NO","0"
30,"1kmN3888E4179","NO","A",2011,"NO","0"
1,"1kmN3888E4180","NO","A",2011,"NO","0"
4,"1kmN3888E4181","NO","A",2011,"NO","0"
10,"1kmN3888E4182","NO","A",2011,"NO","0"
2,"1kmN3888E4184","NO","A",2011,"NO","0"
2,"1kmN3888E4185","NO","A",2011,"NO","0"
36,"1kmN3888E4186","NO","A",2011,"NO","0"
52,"1kmN3888E4187","NO","A",2011,"NO","0"
51,"1kmN3888E4188","NO","A",2011,"NO","0"
460,"1kmN3888E4189","NO","A",2011,"NO","0"
151,"1kmN3888E4190","NO","A",2011,"NO","0"
1054,"1kmN3888E4191","NO","A",2011,"NO","0"
550,"1kmN3888E4192","NO","A",2011,"NO","0"
975,"1kmN3888E4193","NO","A",2011,"NO","0"
441,"1kmN3888E4194","NO","A",2011,"NO","0"
16,"1kmN3888E4197","NO","A",2011,"NO","0"
15,"1kmN3888E4198","NO","A",2011,"NO","0"
18,"1kmN3888E4201","NO","A",2011,"NO","0"
590,"1kmN3888E4202","NO","A",2011,"NO","0"
916,"1kmN3888E4203","NO","A",2011,"NO","0"
99,"1kmN3888E4204","NO","A",2011,"NO","0"
7,"1kmN3889E4127","NO","A",2011,"NO","0"
14,"1kmN3889E4129","NO","A",2011,"NO","0"
15,"1kmN3889E4132","NO","A",2011,"NO","0"
3,"1kmN3889E4140","NO","A",2011,"NO","0"
9,"1kmN3889E4141","NO","A",2011,"NO","0"
9,"1kmN3889E4142","NO","A",2011,"NO","0"
7,"1kmN3889E4144","NO","A",2011,"NO","0"
25,"1kmN3889E4145","NO","A",2011,"NO","0"
4,"1kmN3889E4148","NO","A",2011,"NO","0"
14,"1kmN3889E4149","NO","A",2011,"NO","0"
11,"1kmN3889E4151","NO","A",2011,"NO","0"
20,"1kmN3889E4152","NO","A",2011,"NO","0"
4,"1kmN3889E4153","NO","A",2011,"NO","0"
10,"1kmN3889E4154","NO","A",2011,"NO","0"
6,"1kmN3889E4156","NO","A",2011,"NO","0"
4,"1kmN3889E4157","NO","A",2011,"NO","0"
464,"1kmN3889E4161","NO","A",2011,"NO","0"
110,"1kmN3889E4162","NO","A",2011,"NO","0"
37,"1kmN3889E4163","NO","A",2011,"NO","0"
3,"1kmN3889E4165","NO","A",2011,"NO","0"
6,"1kmN3889E4168","NO","A",2011,"NO","0"
9,"1kmN3889E4169","NO","A",2011,"NO","0"
20,"1kmN3889E4170","NO","A",2011,"NO","0"
4,"1kmN3889E4173","NO","A",2011,"NO","0"
87,"1kmN3889E4174","NO","A",2011,"NO","0"
14,"1kmN3889E4177","NO","A",2011,"NO","0"
5,"1kmN3889E4178","NO","A",2011,"NO","0"
4,"1kmN3889E4180","NO","A",2011,"NO","0"
7,"1kmN3889E4182","NO","A",2011,"NO","0"
3,"1kmN3889E4184","NO","A",2011,"NO","0"
127,"1kmN3889E4189","NO","A",2011,"NO","0"
715,"1kmN3889E4190","NO","A",2011,"NO","0"
562,"1kmN3889E4191","NO","A",2011,"NO","0"
863,"1kmN3889E4192","NO","A",2011,"NO","0"
164,"1kmN3889E4193","NO","A",2011,"NO","0"
34,"1kmN3889E4194","NO","A",2011,"NO","0"
29,"1kmN3889E4201","NO","A",2011,"NO","0"
32,"1kmN3890E4122","NO","A",2011,"NO","0"
8,"1kmN3890E4123","NO","A",2011,"NO","0"
36,"1kmN3890E4125","NO","A",2011,"NO","0"
34,"1kmN3890E4126","NO","A",2011,"NO","0"
19,"1kmN3890E4127","NO","A",2011,"NO","0"
5,"1kmN3890E4128","NO","A",2011,"NO","0"
60,"1kmN3890E4129","NO","A",2011,"NO","0"
13,"1kmN3890E4130","NO","A",2011,"NO","0"
5,"1kmN3890E4132","NO","A",2011,"NO","0"
10,"1kmN3890E4136","NO","A",2011,"NO","0"
1,"1kmN3890E4139","NO","A",2011,"NO","0"
30,"1kmN3890E4141","NO","A",2011,"NO","0"
4,"1kmN3890E4142","NO","A",2011,"NO","0"
4,"1kmN3890E4145","NO","A",2011,"NO","0"
15,"1kmN3890E4146","NO","A",2011,"NO","0"
7,"1kmN3890E4148","NO","A",2011,"NO","0"
5,"1kmN3890E4149","NO","A",2011,"NO","0"
6,"1kmN3890E4150","NO","A",2011,"NO","0"
6,"1kmN3890E4151","NO","A",2011,"NO","0"
4,"1kmN3890E4159","NO","A",2011,"NO","0"
48,"1kmN3890E4160","NO","A",2011,"NO","0"
585,"1kmN3890E4161","NO","A",2011,"NO","0"
255,"1kmN3890E4162","NO","A",2011,"NO","0"
12,"1kmN3890E4166","NO","A",2011,"NO","0"
8,"1kmN3890E4167","NO","A",2011,"NO","0"
29,"1kmN3890E4168","NO","A",2011,"NO","0"
8,"1kmN3890E4169","NO","A",2011,"NO","0"
5,"1kmN3890E4170","NO","A",2011,"NO","0"
9,"1kmN3890E4172","NO","A",2011,"NO","0"
2,"1kmN3890E4173","NO","A",2011,"NO","0"
509,"1kmN3890E4174","NO","A",2011,"NO","0"
75,"1kmN3890E4175","NO","A",2011,"NO","0"
6,"1kmN3890E4177","NO","A",2011,"NO","0"
4,"1kmN3890E4178","NO","A",2011,"NO","0"
8,"1kmN3890E4179","NO","A",2011,"NO","0"
15,"1kmN3890E4180","NO","A",2011,"NO","0"
37,"1kmN3890E4183","NO","A",2011,"NO","0"
11,"1kmN3890E4184","NO","A",2011,"NO","0"
31,"1kmN3890E4185","NO","A",2011,"NO","0"
1,"1kmN3890E4186","NO","A",2011,"NO","0"
70,"1kmN3890E4187","NO","A",2011,"NO","0"
277,"1kmN3890E4188","NO","A",2011,"NO","0"
292,"1kmN3890E4189","NO","A",2011,"NO","0"
226,"1kmN3890E4190","NO","A",2011,"NO","0"
417,"1kmN3890E4191","NO","A",2011,"NO","0"
480,"1kmN3890E4192","NO","A",2011,"NO","0"
3,"1kmN3890E4193","NO","A",2011,"NO","0"
2,"1kmN3890E4194","NO","A",2011,"NO","0"
5,"1kmN3890E4198","NO","A",2011,"NO","0"
342,"1kmN3890E4199","NO","A",2011,"NO","0"
1217,"1kmN3890E4200","NO","A",2011,"NO","0"
595,"1kmN3890E4201","NO","A",2011,"NO","0"
2,"1kmN3890E4202","NO","A",2011,"NO","0"
52,"1kmN3890E4209","NO","A",2011,"NO","0"
5,"1kmN3890E4210","NO","A",2011,"NO","0"
5,"1kmN3890E4211","NO","A",2011,"NO","0"
1,"1kmN3891E4121","NO","A",2011,"NO","0"
51,"1kmN3891E4122","NO","A",2011,"NO","0"
41,"1kmN3891E4123","NO","A",2011,"NO","0"
35,"1kmN3891E4124","NO","A",2011,"NO","0"
2,"1kmN3891E4125","NO","A",2011,"NO","0"
106,"1kmN3891E4126","NO","A",2011,"NO","0"
66,"1kmN3891E4127","NO","A",2011,"NO","0"
14,"1kmN3891E4128","NO","A",2011,"NO","0"
120,"1kmN3891E4129","NO","A",2011,"NO","0"
384,"1kmN3891E4130","NO","A",2011,"NO","0"
571,"1kmN3891E4131","NO","A",2011,"NO","0"
230,"1kmN3891E4132","NO","A",2011,"NO","0"
6,"1kmN3891E4134","NO","A",2011,"NO","0"
44,"1kmN3891E4135","NO","A",2011,"NO","0"
3,"1kmN3891E4136","NO","A",2011,"NO","0"
20,"1kmN3891E4137","NO","A",2011,"NO","0"
10,"1kmN3891E4138","NO","A",2011,"NO","0"
17,"1kmN3891E4140","NO","A",2011,"NO","0"
8,"1kmN3891E4141","NO","A",2011,"NO","0"
4,"1kmN3891E4143","NO","A",2011,"NO","0"
22,"1kmN3891E4145","NO","A",2011,"NO","0"
95,"1kmN3891E4146","NO","A",2011,"NO","0"
5,"1kmN3891E4147","NO","A",2011,"NO","0"
2,"1kmN3891E4148","NO","A",2011,"NO","0"
12,"1kmN3891E4149","NO","A",2011,"NO","0"
5,"1kmN3891E4150","NO","A",2011,"NO","0"
2,"1kmN3891E4151","NO","A",2011,"NO","0"
9,"1kmN3891E4152","NO","A",2011,"NO","0"
11,"1kmN3891E4154","NO","A",2011,"NO","0"
15,"1kmN3891E4155","NO","A",2011,"NO","0"
7,"1kmN3891E4158","NO","A",2011,"NO","0"
19,"1kmN3891E4159","NO","A",2011,"NO","0"
5,"1kmN3891E4160","NO","A",2011,"NO","0"
3,"1kmN3891E4161","NO","A",2011,"NO","0"
82,"1kmN3891E4162","NO","A",2011,"NO","0"
48,"1kmN3891E4163","NO","A",2011,"NO","0"
6,"1kmN3891E4164","NO","A",2011,"NO","0"
7,"1kmN3891E4165","NO","A",2011,"NO","0"
5,"1kmN3891E4169","NO","A",2011,"NO","0"
8,"1kmN3891E4170","NO","A",2011,"NO","0"
3,"1kmN3891E4171","NO","A",2011,"NO","0"
20,"1kmN3891E4172","NO","A",2011,"NO","0"
10,"1kmN3891E4173","NO","A",2011,"NO","0"
23,"1kmN3891E4174","NO","A",2011,"NO","0"
86,"1kmN3891E4175","NO","A",2011,"NO","0"
6,"1kmN3891E4176","NO","A",2011,"NO","0"
11,"1kmN3891E4177","NO","A",2011,"NO","0"
15,"1kmN3891E4179","NO","A",2011,"NO","0"
29,"1kmN3891E4182","NO","A",2011,"NO","0"
5,"1kmN3891E4183","NO","A",2011,"NO","0"
5,"1kmN3891E4184","NO","A",2011,"NO","0"
39,"1kmN3891E4185","NO","A",2011,"NO","0"
543,"1kmN3891E4188","NO","A",2011,"NO","0"
222,"1kmN3891E4189","NO","A",2011,"NO","0"
67,"1kmN3891E4192","NO","A",2011,"NO","0"
25,"1kmN3891E4193","NO","A",2011,"NO","0"
52,"1kmN3891E4198","NO","A",2011,"NO","0"
1043,"1kmN3891E4199","NO","A",2011,"NO","0"
1822,"1kmN3891E4200","NO","A",2011,"NO","0"
1498,"1kmN3891E4201","NO","A",2011,"NO","0"
488,"1kmN3891E4202","NO","A",2011,"NO","0"
16,"1kmN3891E4209","NO","A",2011,"NO","0"
34,"1kmN3891E4210","NO","A",2011,"NO","0"
40,"1kmN3891E4211","NO","A",2011,"NO","0"
4,"1kmN3891E4212","NO","A",2011,"NO","0"
11,"1kmN3891E4215","NO","A",2011,"NO","0"
3,"1kmN3892E4119","NO","A",2011,"NO","0"
392,"1kmN3892E4120","NO","A",2011,"NO","0"
18,"1kmN3892E4121","NO","A",2011,"NO","0"
33,"1kmN3892E4122","NO","A",2011,"NO","0"
59,"1kmN3892E4124","NO","A",2011,"NO","0"
644,"1kmN3892E4125","NO","A",2011,"NO","0"
241,"1kmN3892E4126","NO","A",2011,"NO","0"
15,"1kmN3892E4127","NO","A",2011,"NO","0"
11,"1kmN3892E4128","NO","A",2011,"NO","0"
39,"1kmN3892E4129","NO","A",2011,"NO","0"
890,"1kmN3892E4130","NO","A",2011,"NO","0"
461,"1kmN3892E4131","NO","A",2011,"NO","0"
532,"1kmN3892E4132","NO","A",2011,"NO","0"
74,"1kmN3892E4133","NO","A",2011,"NO","0"
51,"1kmN3892E4134","NO","A",2011,"NO","0"
9,"1kmN3892E4135","NO","A",2011,"NO","0"
53,"1kmN3892E4136","NO","A",2011,"NO","0"
33,"1kmN3892E4137","NO","A",2011,"NO","0"
4,"1kmN3892E4138","NO","A",2011,"NO","0"
12,"1kmN3892E4139","NO","A",2011,"NO","0"
11,"1kmN3892E4141","NO","A",2011,"NO","0"
6,"1kmN3892E4142","NO","A",2011,"NO","0"
3,"1kmN3892E4143","NO","A",2011,"NO","0"
7,"1kmN3892E4144","NO","A",2011,"NO","0"
41,"1kmN3892E4147","NO","A",2011,"NO","0"
13,"1kmN3892E4148","NO","A",2011,"NO","0"
3,"1kmN3892E4149","NO","A",2011,"NO","0"
26,"1kmN3892E4150","NO","A",2011,"NO","0"
10,"1kmN3892E4152","NO","A",2011,"NO","0"
3,"1kmN3892E4154","NO","A",2011,"NO","0"
6,"1kmN3892E4155","NO","A",2011,"NO","0"
2,"1kmN3892E4156","NO","A",2011,"NO","0"
19,"1kmN3892E4157","NO","A",2011,"NO","0"
18,"1kmN3892E4158","NO","A",2011,"NO","0"
14,"1kmN3892E4162","NO","A",2011,"NO","0"
33,"1kmN3892E4163","NO","A",2011,"NO","0"
31,"1kmN3892E4164","NO","A",2011,"NO","0"
2,"1kmN3892E4165","NO","A",2011,"NO","0"
2,"1kmN3892E4166","NO","A",2011,"NO","0"
14,"1kmN3892E4167","NO","A",2011,"NO","0"
12,"1kmN3892E4171","NO","A",2011,"NO","0"
9,"1kmN3892E4174","NO","A",2011,"NO","0"
4,"1kmN3892E4175","NO","A",2011,"NO","0"
11,"1kmN3892E4176","NO","A",2011,"NO","0"
3,"1kmN3892E4177","NO","A",2011,"NO","0"
3,"1kmN3892E4178","NO","A",2011,"NO","0"
4,"1kmN3892E4179","NO","A",2011,"NO","0"
21,"1kmN3892E4181","NO","A",2011,"NO","0"
2,"1kmN3892E4184","NO","A",2011,"NO","0"
1,"1kmN3892E4187","NO","A",2011,"NO","0"
21,"1kmN3892E4188","NO","A",2011,"NO","0"
105,"1kmN3892E4193","NO","A",2011,"NO","0"
112,"1kmN3892E4194","NO","A",2011,"NO","0"
69,"1kmN3892E4198","NO","A",2011,"NO","0"
2232,"1kmN3892E4199","NO","A",2011,"NO","0"
1613,"1kmN3892E4200","NO","A",2011,"NO","0"
208,"1kmN3892E4201","NO","A",2011,"NO","0"
27,"1kmN3892E4206","NO","A",2011,"NO","0"
9,"1kmN3892E4207","NO","A",2011,"NO","0"
452,"1kmN3892E4208","NO","A",2011,"NO","0"
99,"1kmN3892E4209","NO","A",2011,"NO","0"
16,"1kmN3892E4210","NO","A",2011,"NO","0"
37,"1kmN3892E4211","NO","A",2011,"NO","0"
3,"1kmN3892E4212","NO","A",2011,"NO","0"
50,"1kmN3892E4215","NO","A",2011,"NO","0"
7,"1kmN3892E4216","NO","A",2011,"NO","0"
571,"1kmN3893E4119","NO","A",2011,"NO","0"
55,"1kmN3893E4120","NO","A",2011,"NO","0"
48,"1kmN3893E4123","NO","A",2011,"NO","0"
36,"1kmN3893E4124","NO","A",2011,"NO","0"
288,"1kmN3893E4125","NO","A",2011,"NO","0"
693,"1kmN3893E4126","NO","A",2011,"NO","0"
189,"1kmN3893E4127","NO","A",2011,"NO","0"
39,"1kmN3893E4128","NO","A",2011,"NO","0"
45,"1kmN3893E4129","NO","A",2011,"NO","0"
22,"1kmN3893E4130","NO","A",2011,"NO","0"
5,"1kmN3893E4131","NO","A",2011,"NO","0"
